
[Name]
BC_2000

[Data]
X [ m ], Y [ m ], Z [ m ], X [ m ], Y [ m ]
7.76988506e-01, 3.25028896e-02, 0.00000000e+00, 7.76988506e-01, 3.25028896e-02
7.87524283e-01, 3.12611461e-02, 1.00000000e+00, 7.87524283e-01, 3.12611461e-02
7.87524283e-01, 3.12611461e-02, 0.00000000e+00, 7.87524283e-01, 3.12611461e-02
7.98021436e-01, 2.99929157e-02, 1.00000000e+00, 7.98021436e-01, 2.99929157e-02
7.98021436e-01, 2.99929157e-02, 0.00000000e+00, 7.98021436e-01, 2.99929157e-02
8.08481514e-01, 2.87093502e-02, 1.00000000e+00, 8.08481514e-01, 2.87093502e-02
8.08481514e-01, 2.87093502e-02, 0.00000000e+00, 8.08481514e-01, 2.87093502e-02
8.18903506e-01, 2.74100471e-02, 1.00000000e+00, 8.18903506e-01, 2.74100471e-02
8.18903506e-01, 2.74100471e-02, 0.00000000e+00, 8.18903506e-01, 2.74100471e-02
8.29288900e-01, 2.60957312e-02, 1.00000000e+00, 8.29288900e-01, 2.60957312e-02
8.29288900e-01, 2.60957312e-02, 0.00000000e+00, 8.29288900e-01, 2.60957312e-02
8.39637518e-01, 2.47667879e-02, 1.00000000e+00, 8.39637518e-01, 2.47667879e-02
8.39637518e-01, 2.47667879e-02, 0.00000000e+00, 8.39637518e-01, 2.47667879e-02
8.49949241e-01, 2.34229900e-02, 1.00000000e+00, 8.49949241e-01, 2.34229900e-02
8.49949241e-01, 2.34229900e-02, 0.00000000e+00, 8.49949241e-01, 2.34229900e-02
8.60224903e-01, 2.20653117e-02, 1.00000000e+00, 8.60224903e-01, 2.20653117e-02
8.60224903e-01, 2.20653117e-02, 0.00000000e+00, 8.60224903e-01, 2.20653117e-02
8.70459914e-01, 2.06799489e-02, 1.00000000e+00, 8.70459914e-01, 2.06799489e-02
8.70459914e-01, 2.06799489e-02, 0.00000000e+00, 8.70459914e-01, 2.06799489e-02
8.80662203e-01, 1.92875024e-02, 1.00000000e+00, 8.80662203e-01, 1.92875024e-02
8.80662203e-01, 1.92875024e-02, 0.00000000e+00, 8.80662203e-01, 1.92875024e-02
